OBJECTID,DISTRICT,PSA,NAME,WEB_URL,POLDIST_ID,GIS_ID,SECTOR,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
37,1,101,101,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_57,1D1,{B7E4E495-548B-4384-90AF-74FD4C6C24D4},,,,,0,0
38,6,608,608,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_56,6D1,{54594ABB-439D-4879-BFC5-8D643C2C6A0B},,,,,0,0
39,1,104,104,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_32,1D2,{CD065833-D42B-45A7-B200-4D041BF94F49},,,,,0,0
40,6,603,603,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_50,6D3,{9DD9039F-E58E-4D6C-BC6D-79FA246EB0D3},,,,,0,0
41,1,108,108,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_51,1D2,{5B491D57-AEF0-4C16-8F5F-8A25D0F44B35},,,,,0,0
42,1,103,103,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_48,1D1,{7677887E-00E0-4A33-95D9-9D759E6BFB0E},,,,,0,0
43,1,107,107,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_11,1D2,{FADCF2FE-E560-49BB-8984-4579B1E6E021},,,,,0,0
44,1,106,106,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_49,1D3,{B2E13C66-D69C-4DDF-BAE9-F56BF80959C6},,,,,0,0
45,6,604,604,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_54,6D3,{C9A37A98-8828-487D-967D-DD0E2C2F89B9},,,,,0,0
46,6,605,605,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_47,6D2,{4D7A9E94-D58C-495E-9C6C-F1A56552531E},,,,,0,0
47,1,105,105,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,temp_33,1D3,{B526F023-541C-4421-A7CD-262AA6637E3C},,,,,0,0
48,6,607,607,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_46,6D2,{D45069AF-CD73-46DB-B403-159076E318C2},,,,,0,0
49,7,701,701,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_45,7D1,{4646EFF2-ABFE-4E0C-AC4D-1AB3EB5D13AA},,,,,0,0
50,7,703,703,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_44,7D1,{345B972E-B0E1-4583-AF24-95481B57278C},,,,,0,0
51,6,606,606,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,temp_53,6D2,{3B2102BC-5252-486B-8403-319C64A4B610},,,,,0,0
52,7,702,702,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_43,7D1,{18F487A6-77D2-465D-8E18-71622FDEA72F},,,,,0,0
53,7,704,704,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_42,7D2,{034C6F8D-B020-4DC2-A901-390B78A5FF14},,,,,0,0
54,7,707,707,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_41,7D2,{21A44731-A0A0-47C7-BF60-CF71719F8CD6},,,,,0,0
55,7,705,705,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_40,7D2,{048DF040-904E-4593-AFC9-B9489ABEC84D},,,,,0,0
56,7,706,706,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_39,7D3,{E2C7B963-3E6E-4839-BB2A-2889C889807B},,,,,0,0
57,7,708,708,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,temp_38,7D3,{54A39E32-6B6C-43A5-81BD-9AB61F67E4B3},,,,,0,0
